"Algorithm","Hash","Path"
"SHA1","803F0FA3AA893C02ED0D09DFED03E00C3ECDC070","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_050.bin"
"SHA1","C9D776189C4A51CCD6F979C93C493C25504CD779","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_051.bin"
"SHA1","0768670AAFCE9FA4F7A271DD8D8768CA165DECCC","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_052.bin"
"SHA1","D5F3457ACDF532949A1562A84BAB58C60350F7C9","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_053.bin"
"SHA1","97774B930742ED0007E9CEDF80AE2BDD504775FB","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_054.bin"
"SHA1","197444057C9F6B2ED764E45DD21D900CC245A7CA","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_055.bin"
"SHA1","D5F3457ACDF532949A1562A84BAB58C60350F7C9","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_056.bin"
"SHA1","9F78EE55EA81291231FE847AEBD11270D5FA9E5E","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_057.bin"
"SHA1","0768670AAFCE9FA4F7A271DD8D8768CA165DECCC","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F0_058.bin"
"SHA1","D916427F5580152CCB7B6E608F17261BFB781D4B","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F1_000.bin"
"SHA1","68C0D8919190673AB926D93CD4E6FA151A07A467","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F1_017.bin"
"SHA1","0768670AAFCE9FA4F7A271DD8D8768CA165DECCC","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\F1_052.bin"
"SHA1","704547F3DDDCADE76EC6BB923EBAD43096744A08","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\Ft_000.bin"
"SHA1","704547F3DDDCADE76EC6BB923EBAD43096744A08","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\Ft_001.bin"
"SHA1","53EB4CE6254A9E24A9067EB0A5311BC747BA0BC0","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\Ft_002.bin"
"SHA1","4DBFA3E913B17B8E76B5DC95357138FBA1503AD2","9F2DAA064D494AA82B43B65362C59E9B89A88F8F58\DATA\fonts\fonts.zip\Ft_003.bin"
